,output_First,output_Second,output_Upstream,output_Total
AUS_01T03,1000.0,7094.0,338106.0,346200.0
AUS_05T06,1000.0,7094.0,338106.0,346200.0
AUS_07T08,1000.0,7094.0,338106.0,346200.0
AUS_09,1000.0,7094.0,338106.0,346200.0
AUS_10T12,1000.0,7094.0,338106.0,346200.0
AUS_13T15,1000.0,7094.0,338106.0,346200.0
AUS_16,1000.0,7094.0,338106.0,346200.0
AUS_17T18,1000.0,7094.0,338106.0,346200.0
AUS_19,1000.0,7094.0,338106.0,346200.0
AUS_20T21,1000.0,7094.0,338106.0,346200.0
AUS_22,1000.0,7094.0,338106.0,346200.0
AUS_23,1000.0,7094.0,338106.0,346200.0
AUS_24,1000.0,7094.0,338106.0,346200.0
AUS_25,1000.0,7094.0,338106.0,346200.0
AUS_26,1000.0,7094.0,338106.0,346200.0
AUS_27,1000.0,7094.0,338106.0,346200.0
AUS_28,1000.0,7094.0,338106.0,346200.0
AUS_29,1000.0,7094.0,338106.0,346200.0
AUS_30,1000.0,7094.0,338106.0,346200.0
AUS_31T33,1000.0,7094.0,338106.0,346200.0
AUS_35T39,1000.0,7094.0,338106.0,346200.0
AUS_41T43,1000.0,7094.0,338106.0,346200.0
AUS_45T47,1000.0,7094.0,338106.0,346200.0
AUS_49T53,1000.0,7094.0,338106.0,346200.0
AUS_55T56,1000.0,7094.0,338106.0,346200.0
AUS_58T60,1000.0,7094.0,338106.0,346200.0
AUS_61,1000.0,7094.0,338106.0,346200.0
AUS_62T63,1000.0,7094.0,338106.0,346200.0
AUS_64T66,1000.0,7094.0,338106.0,346200.0
AUS_68,1000.0,7094.0,338106.0,346200.0
AUS_69T82,1000.0,7094.0,338106.0,346200.0
AUS_84,1000.0,7094.0,338106.0,346200.0
AUS_85,1000.0,7094.0,338106.0,346200.0
AUS_86T88,1000.0,7094.0,338106.0,346200.0
AUS_90T96,1000.0,7094.0,338106.0,346200.0
AUS_97T98,1000.0,7094.0,338106.0,346200.0
AUT_01T03,1000.0,7094.0,338106.0,346200.0
AUT_05T06,1000.0,7094.0,338106.0,346200.0
AUT_07T08,1000.0,7094.0,338106.0,346200.0
AUT_09,1000.0,7094.0,338106.0,346200.0
AUT_10T12,1000.0,7094.0,338106.0,346200.0
AUT_13T15,1000.0,7094.0,338106.0,346200.0
AUT_16,1000.0,7094.0,338106.0,346200.0
AUT_17T18,1000.0,7094.0,338106.0,346200.0
AUT_19,1000.0,7094.0,338106.0,346200.0
AUT_20T21,1000.0,7094.0,338106.0,346200.0
AUT_22,1000.0,7094.0,338106.0,346200.0
AUT_23,1000.0,7094.0,338106.0,346200.0
AUT_24,1000.0,7094.0,338106.0,346200.0
AUT_25,1000.0,7094.0,338106.0,346200.0
AUT_26,1000.0,7094.0,338106.0,346200.0
AUT_27,1000.0,7094.0,338106.0,346200.0
AUT_28,1000.0,7094.0,338106.0,346200.0
AUT_29,1000.0,7094.0,338106.0,346200.0
AUT_30,1000.0,7094.0,338106.0,346200.0
AUT_31T33,1000.0,7094.0,338106.0,346200.0
AUT_35T39,1000.0,7094.0,338106.0,346200.0
AUT_41T43,1000.0,7094.0,338106.0,346200.0
AUT_45T47,1000.0,7094.0,338106.0,346200.0
AUT_49T53,1000.0,7094.0,338106.0,346200.0
AUT_55T56,1000.0,7094.0,338106.0,346200.0
AUT_58T60,1000.0,7094.0,338106.0,346200.0
AUT_61,1000.0,7094.0,338106.0,346200.0
AUT_62T63,1000.0,7094.0,338106.0,346200.0
AUT_64T66,1000.0,7094.0,338106.0,346200.0
AUT_68,1000.0,7094.0,338106.0,346200.0
AUT_69T82,1000.0,7094.0,338106.0,346200.0
